power_weight,oof_n,oof_accuracy,oof_weighted_f1,oof_miou,test_n,test_changed,test_changed_status,test_changed_files
0.0,457,0.9803063457330415,0.9727771011422945,0.6401515722322685,695,0,{},
0.05,457,0.9803063457330415,0.9727771011422945,0.6401515722322685,695,3,"{""unseen_candidate"": 3}","01644.jpg,02212.jpg,02309.jpg"
0.1,457,0.9803063457330415,0.9727771011422945,0.6401515722322685,695,6,"{""unseen_candidate"": 6}","01442.jpg,01644.jpg,02212.jpg,02214.jpg,02218.jpg,02309.jpg"
0.2,457,0.9803063457330415,0.9727771011422945,0.6401515722322685,695,9,"{""unseen_candidate"": 9}","01442.jpg,01644.jpg,02212.jpg,02214.jpg,02215.jpg,02218.jpg,02225.jpg,02299.jpg,02309.jpg"
0.3,457,0.9781181619256017,0.970580311616701,0.6318016474266474,695,10,"{""unseen_candidate"": 10}","01442.jpg,01644.jpg,02212.jpg,02214.jpg,02215.jpg,02218.jpg,02225.jpg,02241.jpg,02299.jpg,02309.jpg"
0.5,457,0.9606126914660832,0.9521009640236539,0.5276415742749908,695,16,"{""unseen_candidate"": 16}","01442.jpg,01644.jpg,02193.jpg,02212.jpg,02214.jpg,02215.jpg,02218.jpg,02219.jpg,02225.jpg,02230.jpg,02232.jpg,02233.jpg,02241.jpg,02275.jpg,02299.jpg,02309.jpg"
