lambda,n,accuracy,weighted_f1,miou,changed_from_base,per_class_f1,per_class_recall
0.0,333,0.987987987987988,0.9835573377286392,0.7605392156862745,0,"[1.0, 0.0, 0.9333333333333333, 0.967741935483871, 0.9950738916256158, 0.0]","[1.0, 0.0, 1.0, 0.9375, 1.0, 0.0]"
0.05,333,0.987987987987988,0.9835573377286392,0.7605392156862745,0,"[1.0, 0.0, 0.9333333333333333, 0.967741935483871, 0.9950738916256158, 0.0]","[1.0, 0.0, 1.0, 0.9375, 1.0, 0.0]"
0.1,333,0.987987987987988,0.9835573377286392,0.7605392156862745,0,"[1.0, 0.0, 0.9333333333333333, 0.967741935483871, 0.9950738916256158, 0.0]","[1.0, 0.0, 1.0, 0.9375, 1.0, 0.0]"
0.2,333,0.987987987987988,0.9835573377286392,0.7605392156862745,0,"[1.0, 0.0, 0.9333333333333333, 0.967741935483871, 0.9950738916256158, 0.0]","[1.0, 0.0, 1.0, 0.9375, 1.0, 0.0]"
0.3,333,0.987987987987988,0.9835573377286392,0.7605392156862745,0,"[1.0, 0.0, 0.9333333333333333, 0.967741935483871, 0.9950738916256158, 0.0]","[1.0, 0.0, 1.0, 0.9375, 1.0, 0.0]"
